বাংলা,চট্টগ্রাম
আমার মেয়ে পছন্দ হয়ে গেছে,অ্যাঁর মাইয়্যা ফসন্দো অই গেইয়্যে
তোকে বিয়ে করতে হবে না,তুঁরে বিয়া গরিতে ন অইব্যু
না হলে তোর কপালে কি আছে,ন অইলে তুঁর হপালত কি আছে
একটা দেশে থাকে একটা সে,উজ্ঞো দেশত থাহে উজ্ঞো ইতে
তার ছিল একটা সুন্দরী বউ,ইতার আইসসিল উজ্ঞো সুন্দরী বউ
রাজা বিয়ে করেছে কিন্তু তার ভাল লাগে না,রাজা বিয়া গইজ্জে কিন্তু ইতার গম ন লার
কোন ঘরে কোন ছেলে হয় না,হোন ঘরত হোন ফোয়া ন অয়
এসব নিয়ে রাজার মনে অনেক দুঃখ,এগিন লইয়্যে রাজার মনত বহুত দুক
রাজা স্বপ্নে জানতে পারে একটা বিয়ে করলে,রাজা খোয়াবে জানিত ফারে উজ্ঞো বিয়া গইল্লি
তাদের ঘরে আসবে ছেলে,ইতারার ঘরত আইবে ফোয়া
ছেলের আশায় সে বিয়ে করল আবার,ফোয়ার আশাত ইতে বিয়া গরিল আবার
নতুন বউ ঘরে নিয়ে আসে,নয়া বউ ঘরত লইয়্যে অ্যাইয়ে
দেখে সবার গায়ে জ্বালা করে,চ্যাঁই বেজ্ঞুনের গাত জ্বালা গরে
এখানে সবাই অনেক অহংকারী,ইয়েন বেজ্ঞুনে বহুত দেমাগি
তার জন্য রাজা তাকে ভালোবাসে,ইতার লাই রাজা ইতারে ভালোবাসে
একদিন রাজ এসে বলে পূজা দেওয়ার জন্য,একদিন রাজ আই কইয়্যরে পূজা দিবের লাই
রাজার বাগানে ফুল নেই কেন,রাজার বাগানত ফুল নাই কিল্লাই
একটি গাছে শুধু একটি ফুল আছে,উজ্ঞো গাছত উধে উজ্ঞো ফুল আছে
রাজা বলল তা নিয়ে,রাজা হইলো তা লইয়্যে
ফুল আনতে গেলে তারা ভয় পায়,ফুল আনোন গ্যিলে ইতারা ডর পায়
হাতের বাহিরে উপরে চলে যায়,আঁতর বাইরে উদ্দি চলি যায়
তার ছিল দুইটা মেয়ে,ইতার আইসসিল দুইয়্যান মাইয়্যা
বড় মেয়ে ঝগড়া করে,ডঁর মাইয়্যা হইজ্যে গরে
তার সাথে ঝগড়া করে সে,ইতার লগে হইজ্যে গরে ইতে
কেউ তার সাথে কথা বলতে চায় না কেন,কেউ ইতার লগে হথা হইতে ন চায় কিল্লাই
তাকে দেখলে সবাই মুখ ঘুরে রাখে,ইতারে চ্যাঁইলে বেজ্ঞুনে মুক ঘুরি রাহে
