SL,Chittagong Language,Sylhet Language,Barisal Language,Standard Bangla Lanuguage,English Translation
954,ইবা হন?,ইগু কেডা,উনি কেডা,ইনি কে?,Who is he?
955,অনে হন,আফনে কইন ,হামনে কন,আপনি বলুন,You tell me.
956,অনে আঁর ওঁয়ারে যাইবেন না?,আফনে আমার লগে যাইবা নি? ,হামনে মোর লগে যাইবেন,আপনি আমার সাথে যাবেন?,Will you come with me?
957,অনে বদ্দার বক্ত ,আফনে ভাইয়ের ভক্ত ,হামনে ভাইর ভক্ত,আপনি ভাইয়ের ভক্ত ,You are a fan of my brother.
958,তুঁই হডে ?,তুমি কই ,তুই কোই,তুমি কোথায় ?,Where are you?
959,তোঁয়ার নাম কি সামি ?,তোমার নাম কিতা সামি ,তোর নাম কি সামি,তোমার নাম কি সামি?,Is your name Sami?
960,চ্যাঁই ক্যান যেন ল্যার,দেইক্ষা কিলাম জানি লাগছে,দেইখ্যা কেমন যানি লাগজে,দেখে কেমন যেন লাগছে,Something feels strange.
961,গম গরে কাম হইয়্যে,ভালা খইরা কাম হইছে,জম্মের কাম হইছে,ভাল করে কাজ হয়েছে,The work was done well.
962,বেজ্ঞুনের বউ সুন্দর অ্যাঁর বউ হালা,"হগলের বউ হুন্দর, আমার ইক্কান কাইল্যা",হগোডির বউ সুন্দর মোর বউ কালা,সবার বউ সুন্দর আমার বউ কালো,"Every woman’s wife is beautiful, but my wife is dark."
963,সামসু মিয়া আরতুন ছোড,সামসু মিয়া আমার থাইক্কা ছোট,সামসু মেয়া মোর চাইয়া ছোডো,সামসু মিয়া আমার থেকে ছোট,Samsu Mia is younger than me.
964,যনঅর সমত হডে গেইয়্যুস তুঁই,যাওয়ার সময় কোনানো গেছলে ,যাওয়ার ক্যালা কোমমে গেছিলি,যাওয়ার সময় কোথায় গেছিস,Where did you go when you were leaving?
965,গম ন ল্যার,ভালা লাগের না ,ভাললাগে না,ভাল লাগছে না,I don’t feel good.
966,হানত হথা যায় তুঁর?,কানে মাথ যায়নি তোর,তোর কানে কতা যায়,কানে কথা যায় তোর?,Can you hear me?
967,ডর ফাইয়্যি অ্যাঁই,ডরাইছলাম আমি,মুই তো ডরাইছেলাম,ভয় পেয়েছিলাম আমি,I was scared.
968, গরুর বাধান দরহার নাই,গরুরে বান্ধার দরকার নাই ,গরু বান্দা লাগবে না,গরুর বাঁধা দরকার নেই,There is no need to tie the cow.
969,অ্যাঁই বাপেরে চিনি,আমি বাপরে ছিনি,মুই বাফেরে চিনি,আমি বাবাকে চিনি,I know my father.
970,বাপেরে হইলাম অ্যাঁরে বিয়া ন গরাবা,বাবারে কইলাম আমারে বিয়া করাইতা না ,আব্বারে কইলাম মোরে বিয়া হরাবা না,বাবাকে বললাম আমাকে বিয়ে করাবা না,I told my father not to arrange my marriage.
971,অ্যাঁই তোঁয়ার লাই কি আইন্নুম,আমি তোমার লাগি কিতা আনতাম ,মুই তোর লইগগ্যা কি আনমু,আমি তোমার জন্য কি আনবো,What should I bring for you?
